,telecommuting,has_company_logo,has_questions,fraudulent,text_len
0,0,1,0,0,1967
1,0,1,0,0,4161
2,0,1,0,0,1929
3,0,1,0,0,4417
4,0,1,1,0,3294
5,0,0,0,0,2653
6,0,1,1,0,1911
7,0,1,1,0,3170
8,0,1,1,0,1487
9,0,1,0,0,2311
10,0,0,0,0,5042
11,0,1,0,0,1933
12,0,1,0,0,2765
13,0,1,1,0,1292
14,0,1,0,0,1732
15,0,1,1,0,3412
16,0,1,0,0,890
17,0,1,1,0,960
18,0,1,0,0,1390
19,0,0,0,0,2308
20,0,1,0,0,2570
21,0,1,0,0,3480
22,0,1,1,0,4099
23,0,1,0,0,2897
24,0,0,0,0,342
25,0,1,1,0,5199
26,0,1,0,0,1442
27,0,1,0,0,1677
28,0,0,0,0,1570
29,0,1,0,0,2303
30,0,1,0,0,3370
31,0,1,0,0,1095
32,0,1,1,0,2211
33,0,1,1,0,2334
34,0,1,1,0,663
35,0,1,1,0,602
36,0,1,0,0,570
37,0,0,0,0,1821
38,0,1,1,0,2404
39,0,1,0,0,2858
40,0,1,1,0,593
41,0,1,1,0,596
42,0,0,0,0,410
43,0,1,0,0,1798
44,0,1,0,0,3486
45,0,1,0,0,2349
46,0,0,0,0,4150
47,0,1,0,0,2366
48,0,1,1,0,589
49,0,1,0,0,2242
50,0,1,0,0,1258
51,0,1,0,0,2534
52,0,1,0,0,1215
53,0,0,0,0,1502
54,0,1,0,0,2174
55,0,1,1,0,1128
56,0,1,0,0,2172
57,0,1,1,0,5163
58,0,1,0,0,1538
59,0,1,1,0,2108
60,0,1,1,0,512
61,0,1,1,0,3177
62,0,1,1,0,596
63,0,1,0,0,2606
64,0,0,0,0,2009
65,0,1,1,0,2755
66,0,1,1,0,671
67,0,0,0,0,763
68,0,0,0,0,2285
69,0,0,1,0,1501
70,0,1,0,0,1089
71,0,1,1,0,1781
72,0,1,0,0,2268
73,0,0,0,0,321
74,0,1,0,0,2096
75,0,1,1,0,3248
76,0,1,1,0,3068
77,0,0,0,0,2408
78,1,0,0,0,3754
79,0,1,1,0,1842
80,0,1,1,0,593
81,0,1,0,0,2762
82,0,1,1,0,1309
83,0,1,0,0,2455
84,0,1,0,0,2058
85,0,1,1,0,3742
86,0,1,0,0,2655
87,0,1,0,0,2472
88,0,1,1,0,3014
89,0,1,1,0,589
90,0,1,0,0,2163
91,0,1,0,0,1900
92,1,0,0,0,1701
93,0,1,0,0,1982
94,0,1,1,0,1286
95,0,1,0,0,1943
96,0,1,0,0,2070
97,0,1,0,0,2109
98,0,1,1,1,4143
99,0,1,1,0,593
100,0,1,0,0,975
101,0,1,1,0,594
102,1,1,0,0,710
103,0,1,0,0,2264
104,0,0,0,0,310
105,1,1,1,0,4478
106,0,1,1,0,1104
107,0,1,0,0,2347
108,0,0,1,0,2019
109,0,1,0,0,3499
110,0,1,0,0,2369
111,0,1,0,0,2312
112,0,1,0,0,2295
113,0,1,0,0,1908
114,1,1,0,0,2948
115,0,1,1,0,1166
116,0,1,1,0,2900
117,0,1,1,0,1007
118,0,1,0,0,2091
119,0,1,1,0,589
120,0,1,0,0,3114
121,0,1,1,0,1101
122,0,1,1,0,591
123,0,1,1,0,596
124,0,1,0,0,2195
125,0,1,1,0,1589
126,0,1,0,0,2548
127,0,1,1,0,2597
128,0,1,1,0,2368
129,0,1,0,0,3382
130,0,1,0,0,2023
131,0,1,1,0,1317
132,0,1,0,0,985
133,0,1,1,0,589
134,0,1,0,0,2648
135,0,1,1,0,597
136,0,1,0,0,1889
137,0,1,1,0,556
138,0,1,0,0,2775
139,0,1,0,0,2253
140,0,1,1,0,597
141,0,1,0,0,2421
142,0,1,0,0,1050
143,0,1,1,0,646
144,0,0,0,1,198
145,0,1,0,0,1146
147,0,0,0,0,811
148,0,1,1,0,2646
149,0,1,0,0,4418
150,0,1,0,0,1792
151,0,1,1,0,593
152,0,1,0,0,4315
153,0,1,1,0,2053
154,0,0,0,0,1553
155,0,0,0,0,2927
156,0,1,0,0,310
157,0,1,1,0,597
158,1,0,1,0,1794
159,0,1,1,0,1016
160,0,0,0,0,2303
161,0,0,1,0,1349
162,0,1,0,0,2215
163,0,1,0,0,2528
164,0,1,0,0,1348
165,0,1,1,0,2970
166,0,0,0,0,1067
167,0,0,0,0,2144
168,0,1,0,0,1909
169,0,1,0,0,2253
170,0,1,1,0,961
171,0,1,0,0,3749
172,0,1,0,0,6907
173,0,1,1,1,5199
174,0,1,1,0,1326
175,0,1,0,0,2242
176,0,1,1,0,599
177,0,1,1,0,1711
178,0,1,1,0,2446
179,0,1,1,0,375
180,0,0,0,1,83
181,0,1,1,0,599
182,0,1,1,0,2319
183,0,0,0,0,806
184,0,1,0,0,1832
185,0,1,0,0,1264
186,0,1,0,0,2826
187,0,1,1,0,766
188,0,1,1,0,593
189,0,1,1,0,591
190,0,0,0,0,2146
191,0,0,0,0,1438
192,0,0,0,0,4236
193,0,0,1,0,2782
194,0,1,0,0,1382
195,0,1,1,0,2428
196,0,1,1,0,591
197,0,1,1,0,2366
198,0,1,1,0,2440
199,0,1,0,0,2168
200,0,1,1,0,2634
201,0,1,0,0,2579
202,0,1,1,0,591
203,0,0,0,0,516
204,0,1,0,0,1304
205,0,1,0,0,2558
206,0,1,0,0,2279
207,0,1,0,0,2401
208,0,1,1,0,597
209,0,1,0,0,2263
210,0,1,0,0,2224
211,0,1,0,0,3571
212,0,1,0,0,2373
213,0,1,0,0,2349
214,0,0,0,0,5776
215,0,1,1,1,4204
216,0,1,1,0,592
217,0,1,0,0,4062
218,0,1,0,0,2658
219,0,1,0,0,2667
220,0,1,0,0,3660
221,0,1,1,0,1146
222,0,1,1,0,1029
223,0,1,1,0,592
224,0,1,0,0,2801
225,0,1,0,0,1527
226,0,1,1,0,595
227,0,0,0,0,337
228,0,1,1,0,1776
229,0,0,0,0,2542
230,0,1,0,0,2276
231,0,1,1,0,595
232,0,1,1,0,1138
233,0,1,0,0,3249
234,0,1,1,0,1498
235,0,1,0,0,1209
236,0,1,0,0,5204
237,0,1,1,0,589
238,0,1,1,0,879
239,0,0,0,0,2005
240,0,1,0,0,2297
241,0,1,1,0,2414
242,0,0,1,0,1761
243,0,1,0,0,572
244,0,0,0,0,2914
245,0,1,1,0,2435
246,0,1,1,0,596
247,0,1,1,0,2586
248,0,1,1,0,2493
249,0,1,0,0,2653
250,0,1,0,0,1608
251,0,1,0,0,2358
252,0,0,0,0,707
253,0,1,0,0,577
254,0,0,0,0,806
255,0,1,1,0,1849
256,0,1,0,0,2104
257,0,1,0,0,2164
258,0,1,0,0,2068
259,0,0,1,0,1802
260,0,1,1,0,1194
261,0,0,1,0,878
262,0,1,1,0,2321
263,0,1,0,0,1289
264,0,0,0,0,1231
265,0,1,0,0,2194
266,0,0,0,0,4695
267,0,1,0,0,2315
268,0,1,0,0,789
269,0,1,1,0,591
270,0,1,0,0,1630
271,0,1,0,0,1286
272,0,0,0,0,650
273,0,1,1,0,593
274,0,1,1,0,1213
275,0,1,1,0,1928
276,0,1,0,0,4413
277,0,1,1,0,1649
278,0,1,0,0,575
279,0,1,1,0,3459
280,0,1,1,0,593
281,0,1,1,0,3824
282,0,1,1,0,2213
283,0,1,0,0,4230
284,0,1,1,0,592
285,0,1,0,0,4148
286,0,1,1,0,1184
287,0,1,1,0,2459
288,0,1,0,0,3458
289,1,1,1,0,1938
290,0,1,0,0,2016
291,0,1,0,0,3288
292,0,1,1,0,589
293,0,1,0,0,2663
294,0,1,1,0,3513
295,0,1,1,0,2668
