,telecommuting,has_company_logo,has_questions,fraudulent,salary_min,salary_max,employment_type_-,employment_type_Contract,employment_type_Full-time,employment_type_Other,employment_type_Part-time,employment_type_Temporary,required_experience_-,required_experience_Associate,required_experience_Director,required_experience_Entry level,required_experience_Executive,required_experience_Internship,required_experience_Mid-Senior level,required_experience_Not Applicable,required_education_-,required_education_Associate Degree,required_education_Bachelor's Degree,required_education_Certification,required_education_Doctorate,required_education_High School or equivalent,required_education_Master's Degree,required_education_Professional,required_education_Some College Coursework Completed,required_education_Some High School Coursework,required_education_Unspecified,required_education_Vocational,required_education_Vocational - Degree,required_education_Vocational - HS Diploma,title_vector,location_vector,department_vector,company_profile_vector,description_vector,requirements_vector,benefits_vector,industry_vector,function_vector,predicao
3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.048156112,0.061259590089321136,0.0924716666340828,0.0009410816710442305,0.023731470108032227,0.03661312535405159,0.03857388719916344,-0.07217704504728317,0.0924716666340828,0.0
5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018511476,-0.002101991092786193,0.0,0.0,-0.02132667787373066,0.0,0.0,0.0,0.0,1.0
7,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049482834,0.2211151272058487,0.0,0.0010015940060839057,0.023559005931019783,0.0036085175815969706,0.08834415674209595,0.0,0.0,0.0
8,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029972725,0.029478328302502632,0.0,-0.012821296229958534,0.057883139699697495,0.0129484161734581,0.0,-0.08405696600675583,0.0,0.0
15,0,1,1,0,120000,150000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.027725525,0.06954442709684372,0.0924716666340828,0.03664681315422058,0.011105988174676895,-0.0025023797061294317,-0.006108738016337156,-0.10204523801803589,0.0924716666340828,0.0
21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.07386785,0.156906396150589,0.0,0.03403496742248535,0.024416478350758553,0.024589043110609055,0.0912659615278244,0.032584600150585175,0.11565286666154861,0.0
26,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13994032,0.017972759902477264,0.24436213076114655,0.06180930510163307,0.016973337158560753,-0.03490917757153511,0.03979916125535965,-0.13812656700611115,0.24436213076114655,0.0
28,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19549172,0.09332991391420364,0.0,-0.07823614031076431,0.01771220937371254,0.0,0.0,-0.06573143601417542,0.0,0.0
33,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.049693327,0.1493995040655136,0.0,-0.023827970027923584,0.005222135689109564,-0.01698489859700203,0.0,-0.3004835844039917,0.11565286666154861,0.0
35,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15363047,0.0456409677863121,0.0,-0.08038926124572754,0.04299287497997284,-0.01412875670939684,0.005807572975754738,-0.023350419476628304,0.0,0.0
36,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.12056011,0.04437107965350151,0.0,-0.08038926124572754,0.034745365381240845,-0.021894413977861404,0.005807572975754738,-0.023350419476628304,0.0,0.0
45,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037071582,0.0031571334693580866,0.0,-0.003572591580450535,0.01681922748684883,0.029424725100398064,0.07383482903242111,0.09558368474245071,0.0924716666340828,0.0
46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.019031994,0.11438482999801636,0.0,-0.0019637704826891422,0.009727044962346554,-0.0067740548402071,0.0,-0.07157982885837555,0.0,0.0
48,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15363047,-0.0039331079460680485,0.0,-0.08038926124572754,0.04299287497997284,-0.01412875670939684,0.005807572975754738,-0.023350419476628304,0.0,0.0
49,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.003961644,-0.05509204417467117,0.0,-0.09097718447446823,0.005577592179179192,0.00900974404066801,0.0,-0.10204523801803589,-0.10149919241666794,0.0
54,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030953422,0.0405094251036644,0.0,-0.003572591580450535,-0.002320352243259549,-0.01673348993062973,0.04532553255558014,0.0,0.0,0.0
57,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.015282916,0.1458454579114914,0.0004050574207212776,0.07337194681167603,0.01442983653396368,-0.0012605285737663507,0.01470356248319149,-0.11565808206796646,0.0,0.0
58,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.12646411,0.0783395916223526,0.0,-0.017813323065638542,0.01895558089017868,0.01079297624528408,0.14929312467575073,-0.07217704504728317,0.24436213076114655,0.0
59,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.016610961,0.2211151272058487,0.0,-0.011738278903067112,-0.0016949933487921953,0.03371595963835716,0.11453685164451599,-0.08405696600675583,0.09486623853445053,0.0
65,0,1,1,0,60,80,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.053873558,0.156906396150589,0.0,-0.012661072425544262,-0.025329530239105225,0.03247799351811409,0.022943394258618355,-0.07217704504728317,0.11565286666154861,0.0
68,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108678274,0.004122003447264433,0.0,-0.07823614031076431,0.020744729787111282,0.0,0.0,0.0,0.0,0.0
74,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1939081,-0.05509204417467117,0.0,-0.09097718447446823,0.007226543501019478,0.00982116162776947,0.0,-0.08582908660173416,0.13140377402305603,0.0
78,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014977539,0.020646026358008385,0.0,0.039991628378629684,0.03171704709529877,0.0,0.0,-0.07157982885837555,0.06613431125879288,0.0
